country,name,code
St. Lucia,Saint Lucia,LCA
St. Kitts and Nevis,Saint Kitts and Nevis,KNA
Lao PDR,Lao People's Democratic Republic,LAO
"Venezuela, RB","Venezuela, Bolivarian Republic of",VEN
Bolivia,"Bolivia, Plurinational State of",BOL
"Congo, Rep.",Congo,COG
"Gambia, The",Gambia,GMB
Cape Verde,Cabo Verde,CPV
"Korea, Rep.","Korea, Republic of",KOR
"Egypt, Arab Rep.",Egypt,EGY
Virgin Islands (U.S.),"Virgin Islands, U.S.",VIR
"Hong Kong SAR, China",Hong Kong,HKG
"Micronesia, Fed. Sts.",Micronesia,FSM
Czech Republic,Czechia,CZE
Kyrgyz Republic,Kyrgyzstan,KGZ
St. Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT
West Bank and Gaza,"Palestine, State of",PSE
"Yemen, Rep.",Yemen,YEM
Tanzania,"Tanzania, United Republic of",TZA
"Bahamas, The",Bahamas,BHS
Moldova,"Moldova, Republic of",MDA
Slovak Republic,Slovakia,SVK
Vietnam,Viet Nam,VNM
